step,initial_population,mean_ini_sugar,mean_ini_vision,mean_ini_metabolism,rate_survive,avg_sugar,dev_sugar,rate_increasable
29,134,15.10447761,5.365671642,2.47761194,0.708955224,51.89473684,33.34394381,0.684210526
29,287,15.59233449,5.550522648,2.505226481,0.745644599,48.23831776,33.33447269,0.607476636
29,207,14.9178744,5.270531401,2.405797101,0.758454106,51.29936306,33.33348685,0.675159236
29,187,16.04278075,5.79144385,2.406417112,0.748663102,55.62142857,33.32885367,0.707142857
29,254,15.33858268,5.803149606,2.496062992,0.763779528,49.67010309,33.32839324,0.659793814
29,127,15.75590551,6.236220472,2.606299213,0.755905512,50.25,33.32771883,0.625
29,355,14.9915493,5.563380282,2.501408451,0.746478873,51.16981132,33.3209461,0.679245283
29,179,16.50837989,5.56424581,2.413407821,0.782122905,51.92142857,33.31818866,0.678571429
29,439,15.22779043,5.687927107,2.45785877,0.74715262,52.29878049,33.31742982,0.679878049
29,243,15.21399177,5.320987654,2.473251029,0.703703704,53.75438596,33.3162815,0.695906433
29,631,15.83518225,5.5340729,2.496038035,0.709984152,50.07366071,33.31406275,0.662946429
29,292,15.81164384,5.674657534,2.479452055,0.760273973,51.39189189,33.31197014,0.657657658
29,318,15.6918239,5.559748428,2.509433962,0.779874214,47.75403226,33.30110428,0.612903226
28,79,14.93670886,5.367088608,2.341772152,0.734177215,46.65517241,33.30009837,0.637931034
29,515,15.33009709,5.557281553,2.547572816,0.683495146,50.95454545,33.29738543,0.659090909
28,186,14.93548387,5.38172043,2.478494624,0.76344086,50.56338028,33.28588072,0.676056338
29,339,15.44542773,5.631268437,2.445427729,0.743362832,52.1984127,33.2852024,0.678571429
29,150,16.09333333,5.346666667,2.633333333,0.713333333,50.17757009,33.28431357,0.635514019
29,160,14.9875,5.63125,2.53125,0.775,48.30645161,33.28203632,0.637096774
29,424,15.51179245,5.589622642,2.483490566,0.702830189,50.87919463,33.27680313,0.674496644
28,234,14.86324786,5.542735043,2.512820513,0.688034188,52.71428571,33.27413195,0.714285714
29,142,15.66901408,5.274647887,2.676056338,0.704225352,44.01,33.26796469,0.55
28,37,18.21621622,6.405405405,2.567567568,0.810810811,54.56666667,33.26661714,0.733333333
29,373,15.55227882,5.525469169,2.536193029,0.726541555,51.94464945,33.26638665,0.675276753
29,315,16.08253968,5.33968254,2.533333333,0.758730159,48.89958159,33.26602665,0.615062762
28,249,15.72690763,5.317269076,2.445783133,0.730923695,53.58241758,33.25959038,0.681318681
29,367,15.50408719,5.51226158,2.474114441,0.708446866,50.86538462,33.25055743,0.665384615
28,180,14.86666667,5.566666667,2.5,0.761111111,46.51824818,33.24289004,0.620437956
29,504,16.48611111,5.349206349,2.498015873,0.678571429,52.78070175,33.2417852,0.68128655
29,248,16.5483871,5.278225806,2.447580645,0.75,50.15053763,33.235587,0.623655914
29,300,15.78333333,5.413333333,2.423333333,0.72,53.72685185,33.22767719,0.689814815
27,130,15.73076923,5.369230769,2.546153846,0.7,48.73626374,33.22443384,0.659340659
29,219,15.30593607,5.356164384,2.534246575,0.675799087,50.99324324,33.21963533,0.668918919
29,439,15.41002278,5.448747153,2.562642369,0.701594533,48.51623377,33.2194813,0.62012987
28,303,15.58085809,5.603960396,2.488448845,0.735973597,51.77130045,33.21723044,0.69058296
29,226,15.02654867,5.659292035,2.46460177,0.747787611,50.11242604,33.21546397,0.668639053
29,351,15.07692308,5.296296296,2.515669516,0.732193732,49.53307393,33.21273575,0.653696498
29,378,15.28306878,5.753968254,2.465608466,0.743386243,51.36654804,33.21000525,0.676156584
29,163,15.29447853,5.613496933,2.570552147,0.73006135,47.44537815,33.20855962,0.605042017
29,350,15.93428571,5.677142857,2.417142857,0.748571429,51.5648855,33.20829404,0.675572519
29,264,15.55681818,5.34469697,2.511363636,0.727272727,51.57291667,33.20087831,0.682291667
28,242,16.11570248,5.466942149,2.44214876,0.714876033,54.58381503,33.19796459,0.699421965
29,134,16.52985075,5.828358209,2.529850746,0.791044776,51.74528302,33.19582915,0.632075472
29,160,15.14375,5.8375,2.3875,0.74375,55.64705882,33.19576965,0.722689076
29,445,15.52134831,5.530337079,2.516853933,0.712359551,49.97791798,33.19413769,0.659305994
29,167,15.98203593,5.71257485,2.467065868,0.77245509,56.06976744,33.19289882,0.728682171
27,112,14.66964286,5.553571429,2.5625,0.785714286,47.125,33.19181886,0.636363636
29,242,15.34710744,5.553719008,2.508264463,0.723140496,49.97142857,33.1916117,0.645714286
29,550,14.98181818,5.418181818,2.483636364,0.687272727,52.26455026,33.19109309,0.669312169
29,219,15.35159817,5.607305936,2.488584475,0.744292237,51.20245399,33.18897621,0.693251534
29,419,15.54415274,5.646778043,2.489260143,0.704057279,51.46101695,33.18794663,0.684745763
29,529,15.98109641,5.529300567,2.601134216,0.661625709,49.16285714,33.18480497,0.634285714
29,309,15.73139159,5.734627832,2.414239482,0.74433657,53.00869565,33.16242827,0.704347826
29,322,15.24534161,5.608695652,2.462732919,0.711180124,54.01310044,33.16221168,0.707423581
29,381,15.79790026,5.503937008,2.490813648,0.732283465,50.86021505,33.16221025,0.663082437
29,312,16.49358974,5.266025641,2.439102564,0.727564103,54.39647577,33.1619996,0.713656388
29,520,15.82115385,5.601923077,2.530769231,0.723076923,50.00531915,33.1602167,0.643617021
29,381,15.13385827,5.49343832,2.559055118,0.713910761,51.98161765,33.15428031,0.6875
29,508,15.89173228,5.464566929,2.521653543,0.732283465,48.5483871,33.15137742,0.642473118
29,235,16.12340426,5.434042553,2.625531915,0.719148936,47.31952663,33.1451305,0.609467456
29,221,14.90950226,5.235294118,2.592760181,0.71040724,49.10828025,33.14470597,0.668789809
29,370,15.84864865,5.537837838,2.497297297,0.727027027,51.99628253,33.1443584,0.698884758
29,290,15.82758621,5.375862069,2.548275862,0.7,51.26600985,33.13844612,0.630541872
29,139,16.98561151,5.467625899,2.561151079,0.726618705,47.42574257,33.13799829,0.574257426
29,456,15.05921053,5.629385965,2.462719298,0.723684211,51.93333333,33.13619924,0.672727273
28,101,13.48514851,5.821782178,2.534653465,0.782178218,46.26582278,33.13442275,0.632911392
29,164,16.3597561,5.262195122,2.365853659,0.743902439,54.53278689,33.133136,0.704918033
28,96,16.42708333,5.385416667,2.5625,0.739583333,50.83098592,33.1309031,0.633802817
28,129,15.03100775,5.333333333,2.503875969,0.813953488,45.28571429,33.1307765,0.561904762
29,446,15.74663677,5.479820628,2.401345291,0.757847534,50.16272189,33.1217541,0.650887574
29,277,14.19855596,5.440433213,2.480144404,0.689530686,51.89528796,33.11685099,0.691099476
29,262,16.30916031,5.465648855,2.419847328,0.767175573,52.43781095,33.11083453,0.651741294
29,258,15.64728682,5.697674419,2.42248062,0.755813953,53.48205128,33.09706805,0.712820513
29,173,15,5.520231214,2.38150289,0.757225434,55.6259542,33.09527874,0.763358779
29,369,15.53387534,5.569105691,2.56097561,0.737127371,48.22058824,33.09144017,0.654411765
29,535,15.33831776,5.536448598,2.482242991,0.710280374,50.50789474,33.08775317,0.668421053
29,484,15.78305785,5.361570248,2.603305785,0.69214876,48.31940299,33.08620676,0.611940299
29,355,16.54647887,5.4,2.577464789,0.715492958,50.95275591,33.0849567,0.649606299
29,348,15.23850575,5.158045977,2.405172414,0.74137931,50.91085271,33.0839605,0.662790698
29,412,16.20873786,5.686893204,2.490291262,0.733009709,52.3807947,33.08316354,0.682119205
29,713,15.82889201,5.451612903,2.465638149,0.677419355,50.98550725,33.08259808,0.666666667
29,339,16.07079646,5.539823009,2.604719764,0.687315634,51.27038627,33.07501698,0.673819742
29,180,15.41111111,5.3,2.533333333,0.755555556,51.67647059,33.07094111,0.683823529
28,332,15.11445783,5.277108434,2.509036145,0.713855422,48.69620253,33.07081043,0.624472574
29,437,15.46681922,5.473684211,2.395881007,0.750572082,50.61280488,33.06493594,0.673780488
29,423,15.68321513,5.264775414,2.453900709,0.699763593,51.61486486,33.0646052,0.689189189
29,436,15.21559633,5.341743119,2.490825688,0.699541284,51.82295082,33.05888085,0.691803279
