initial_population,ini_metabolism,ini_vision,ini_sugar,step,rate_survive,avg_sugar,dev_sugar,rate_increasable
400,2,2,10,36,0.7925,36.49842271,13.87207025,0.845425868
400,2,2,15,41,0.7525,46.27574751,16.10860153,0.840531561
400,2,2,15,41,0.695,49.49640288,16.87729088,0.856115108
400,2,2,10,36,0.7475,37.34448161,15.6537105,0.826086957
400,2,2,15,41,0.7225,47.38754325,16.94113534,0.844290657
400,2,2,15,41,0.7725,44.80906149,16.93913231,0.844660194
400,2,2,20,46,0.7225,57.08650519,16.77390887,0.882352941
400,2,2,20,46,0.7625,55.24918033,17.56876174,0.852459016
400,2,2,20,46,0.74,56.19256757,18.20691093,0.85472973
400,2,2,20,46,0.75,55.18666667,17.75620356,0.826666667
400,2,2,15,41,0.77,45.57792208,15.41363771,0.847402597
400,2,2,25,51,0.7425,63.52525253,18.96583527,0.838383838
400,2,2,25,51,0.775,62.81290323,18.18719173,0.829032258
400,2,2,25,51,0.76,63.57236842,18.64523828,0.861842105
400,2,2,20,46,0.7075,57.6360424,18.63702488,0.855123675
400,2,2,25,51,0.775,63.02903226,18.67649464,0.838709677
400,2,2,30,56,0.735,73.50680272,20.79966907,0.860544218
400,2,2,30,56,0.7825,71.08626198,19.95705894,0.846645367
400,2,2,30,56,0.7275,73.60824742,20.24499429,0.855670103
400,2,3,5,31,0.8075,28.08668731,10.6259925,0.851393189
400,2,3,5,31,0.795,28.49371069,11.46734321,0.852201258
400,2,2,25,51,0.7525,64.05647841,18.42028229,0.860465116
400,2,3,5,31,0.8125,27.46769231,10.44901064,0.864615385
400,2,2,30,56,0.7525,73.0166113,20.89217692,0.84717608
400,2,2,30,56,0.7575,72.44884488,19.80793181,0.838283828
400,2,3,5,31,0.7925,28.42586751,12.32157569,0.845425868
400,2,3,10,36,0.8,36.709375,11.95733951,0.896875
400,2,3,10,36,0.8225,35.48328267,11.67759973,0.85106383
400,2,3,10,36,0.7725,37.74433657,12.53110449,0.867313916
400,2,3,5,31,0.79,28.21202532,11.23978115,0.838607595
400,2,3,10,36,0.8325,34.87687688,12.04834038,0.84984985
400,2,3,10,36,0.8275,35.21752266,10.70999793,0.854984894
400,2,3,15,41,0.79,44.63291139,14.11398245,0.848101266
400,2,3,15,41,0.79,45.01582278,12.1831162,0.882911392
400,2,3,15,41,0.815,44.40797546,12.79143214,0.865030675
400,2,3,15,41,0.835,42.56287425,11.94157193,0.889221557
400,2,3,15,41,0.83,43.27108434,13.34524168,0.837349398
400,2,3,20,46,0.825,51.85151515,13.06724765,0.86969697
400,2,3,20,46,0.8125,52.36307692,13.78552167,0.883076923
400,2,3,20,46,0.795,52.79245283,15.31893345,0.871069182
400,2,3,25,51,0.8075,60.60990712,13.37779382,0.885448916
400,2,3,25,51,0.8125,60.08923077,12.55634367,0.876923077
400,2,3,20,46,0.825,51.36363636,12.59062753,0.872727273
400,2,3,20,46,0.82,51.86280488,13.59852778,0.853658537
400,2,3,25,51,0.7975,61.57366771,13.88044401,0.880877743
400,2,3,25,51,0.81,60.58333333,13.30410561,0.891975309
400,2,3,25,51,0.825,59.59393939,14.03053421,0.851515152
400,2,3,30,56,0.8025,68.7694704,15.16275668,0.859813084
400,2,3,30,56,0.84,66.33928571,13.41254942,0.857142857
400,2,4,5,31,0.84,25.86904762,9.25174257,0.845238095
400,2,3,30,56,0.785,69.52866242,14.24929145,0.878980892
400,2,4,5,31,0.84,26.08333333,8.2098715,0.87797619
400,2,4,5,31,0.87,24.95689655,8.929495445,0.83045977
400,2,3,30,56,0.795,69.96226415,13.87864792,0.864779874
400,2,4,10,36,0.87,31.98275862,8.141029354,0.864942529
400,2,4,10,36,0.865,32.34682081,8.281003493,0.87283237
400,2,4,5,31,0.875,24.70571429,8.096249188,0.854285714
400,2,3,30,56,0.82,67.82926829,14.04497353,0.875
400,2,4,10,36,0.8775,31.58404558,8.170901446,0.843304843
400,2,4,10,36,0.875,31.93714286,8.486736178,0.877142857
400,2,4,10,36,0.86,33.27906977,9.536978713,0.837209302
400,2,4,5,31,0.84,25.56547619,7.347770405,0.87797619
400,2,4,15,41,0.8725,39.27507163,8.569458117,0.868194842
400,2,4,15,41,0.845,41.00591716,10.03583907,0.896449704
400,2,4,15,41,0.845,40.82248521,8.684948799,0.881656805
400,2,4,15,41,0.875,39.51714286,9.227993592,0.84
400,2,4,15,41,0.8525,40.49560117,8.086525358,0.882697947
400,2,4,20,46,0.845,49.18934911,10.33531035,0.881656805
400,2,4,20,46,0.8525,48.43695015,9.323577707,0.885630499
400,2,4,20,46,0.8575,47.91836735,9.120331744,0.868804665
400,2,4,25,51,0.83,58.54819277,13.93296737,0.873493976
400,2,4,25,51,0.8825,54.60339943,12.19170684,0.83286119
400,2,4,25,51,0.845,56.57692308,10.22513631,0.843195266
400,2,4,25,51,0.86,56.28488372,11.88772567,0.845930233
400,2,4,20,46,0.865,48.03468208,9.487991467,0.855491329
400,2,4,30,56,0.8525,63.14076246,9.253178055,0.873900293
400,2,4,20,46,0.8575,48.11078717,9.072448828,0.851311953
400,2,4,30,56,0.84,65.51488095,11.88827663,0.860119048
400,2,4,25,51,0.8625,55.6057971,10.3230365,0.863768116
400,2,4,30,56,0.855,63.07309942,9.19090021,0.868421053
400,2,5,5,31,0.9,22.63333333,7.22684565,0.844444444
400,2,4,30,56,0.87,62.34770115,9.753581794,0.850574713
400,2,5,5,31,0.8875,23.18309859,7.537682846,0.828169014
400,2,5,5,31,0.89,23.07865169,7.930649717,0.848314607
400,2,4,30,56,0.8625,63.02898551,9.650838942,0.884057971
400,2,5,5,31,0.875,23.42285714,6.154974959,0.862857143
400,2,5,10,36,0.9,29.25,5.899223309,0.866666667
400,2,5,10,36,0.8925,29.64145658,6.447302903,0.851540616
400,2,5,10,36,0.9075,29.32231405,6.68660929,0.862258953
400,2,5,15,41,0.91,36.19230769,6.556081117,0.868131868
400,2,5,15,41,0.9075,36.88980716,7.679274016,0.845730028
400,2,5,15,41,0.88,37.90909091,6.451460425,0.889204545
400,2,5,15,41,0.89,37.06179775,6.508637912,0.83988764
400,2,5,15,41,0.9,37.07222222,7.485570562,0.855555556
400,2,5,5,31,0.8925,22.5070028,6.0594509,0.845938375
400,2,5,20,46,0.9125,43.11780822,7.203466474,0.84109589
400,2,5,20,46,0.8875,44.65352113,6.690575017,0.892957746
400,2,5,20,46,0.92,43.01902174,7.239926168,0.850543478
400,2,5,10,36,0.8875,30.9943662,11.36900196,0.836619718
400,2,5,10,36,0.89,30.1741573,6.795856701,0.865168539
400,2,5,20,46,0.9,44.68611111,9.782812874,0.844444444
400,2,5,20,46,0.8925,44.59383754,7.977163058,0.887955182
400,2,5,25,51,0.895,51.52234637,7.180607488,0.863128492
400,2,5,25,51,0.885,52.37288136,7.789143978,0.861581921
